model,scope,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m10_lineup_grw_negbin,OU3.5,528,264,0.009129276120877253,-0.006224160958545424,0.02467846684217243,0.1159,false
m10_lineup_grw_negbin,OU4.5,197,104,-0.17671076317341747,-0.5193444234313908,0.0003595311074712118,0.9737,false
m10_lineup_grw_negbin,BTTS,356,178,0.008398730724322755,-0.005152067502555167,0.02227786939102152,0.1148,false
m12_joint_hybrid_synergy_negbin,all,4054,630,-0.006178720051269,-0.026175644099394532,0.006667385512582625,0.7266,false
m12_joint_hybrid_synergy_negbin,1X2,1785,595,0.004057591616121248,-0.005089375334138615,0.013011041492603993,0.1866,false
m12_joint_hybrid_synergy_negbin,OU1.5,430,215,-0.0022667316298134667,-0.018261350416222486,0.01289972654856874,0.6017,false
m12_joint_hybrid_synergy_negbin,OU2.5,758,379,-0.0003293983008356107,-0.01268048097182116,0.012014851925236688,0.5225,false
m12_joint_hybrid_synergy_negbin,OU3.5,528,264,0.001673188723500423,-0.013504111884252344,0.017426172709156064,0.4195,false
m12_joint_hybrid_synergy_negbin,OU4.5,197,104,-0.16526861446371097,-0.5118354692011069,0.012259943813568267,0.8258,false
m12_joint_hybrid_synergy_negbin,BTTS,356,178,0.0017065162740872504,-0.011521392834762167,0.014755567578758578,0.4091,false
m00_poisson,all,4054,630,-0.004938104489062389,-0.024174028716984472,0.0077806935301279155,0.6868,false
m00_poisson,1X2,1785,595,0.0035397471662626046,-0.006701508134304065,0.013597213497697052,0.2454,false
m00_poisson,OU1.5,430,215,0.004590984007758556,-0.01136239870211021,0.020147535788178635,0.281,false
m00_poisson,OU2.5,758,379,-0.002325872399501299,-0.016042492897747507,0.011405938910554778,0.6337,false
m00_poisson,OU3.5,528,264,0.01024227332881882,-0.007478588291017584,0.02817312337420884,0.1248,false
m00_poisson,OU4.5,197,104,-0.17615004452948987,-0.5172362710786819,0.0006361558963211177,0.9724,false
m00_poisson,BTTS,356,178,0.007710680673430606,-0.006554712492521586,0.022232394295941912,0.1485,false
m05_poisson,all,4054,630,-0.007375512067928978,-0.027610305380253157,0.005451184481898595,0.7852,false
m05_poisson,1X2,1785,595,0.0024655499002427467,-0.005860592741905598,0.010717521747705178,0.2731,false
m05_poisson,OU1.5,430,215,-0.006576963112604864,-0.02227713029263093,0.008525602376645229,0.7952,false
m05_poisson,OU2.5,758,379,-1.7047004933497493e-5,-0.012855381626246337,0.012984854095057816,0.4983,false
m05_poisson,OU3.5,528,264,0.0018898212447325173,-0.014767449850733597,0.019245475791771226,0.4142,false
m05_poisson,OU4.5,197,104,-0.16214450408385714,-0.5096716245326436,0.01578573195578287,0.7852,false
m05_poisson,BTTS,356,178,-0.001448525392855667,-0.013901436363957263,0.010959899916616703,0.5931,false
m10_poisson,all,4054,630,-0.004129011365641986,-0.023353836235462777,0.008489342907244762,0.6493,false
m10_poisson,1X2,1785,595,0.0055546339421590745,-0.005242031170810617,0.0162216727034377,0.1553,false
m10_poisson,OU1.5,430,215,0.005430777285733072,-0.009105949815544917,0.019456100250193918,0.223,false
m10_poisson,OU2.5,758,379,-0.0022785936301417085,-0.014927151224086417,0.010285527197227617,0.6376,false
m10_poisson,OU3.5,528,264,0.009520809050230016,-0.0064069747325175945,0.025663473586594973,0.1154,false
m10_poisson,OU4.5,197,104,-0.178137120296064,-0.5194977463704202,-0.0018371013614238946,0.9846,true
m10_poisson,BTTS,356,178,0.00787621234696289,-0.004359667062724229,0.020533021926663113,0.108,false
m12_poisson,all,4054,630,-0.006318178339863279,-0.026397876364815737,0.006565461844093441,0.7339,false
m12_poisson,1X2,1785,595,0.003890585033149892,-0.005162366935773211,0.012767426698241213,0.1951,false
m12_poisson,OU1.5,430,215,-0.0028799569934558687,-0.018550615042563307,0.011934506250850975,0.6343,false
m12_poisson,OU2.5,758,379,-0.00015118589347623015,-0.0126479005430652,0.012290818743325539,0.511,false
m12_poisson,OU3.5,528,264,0.0018365690474099422,-0.013701785334272767,0.01801786452278775,0.4124,false
m12_poisson,OU4.5,197,104,-0.16620224232770958,-0.5126620055364004,0.011171416107743441,0.8453,false
m12_poisson,BTTS,356,178,0.0015913607359243295,-0.010716199887912357,0.013849363219562002,0.4025,false
